categoria,nombre,precio_oferta,precio_regular,enlace
Supermercado,Pastrami Deli Grecia|227g,420.00 USD (x1),420.00 USD (x1),https://www.elmachetazo.com/pastrami-deli-grecia227g-10834751/p
Supermercado,Salchicha de Cerdo El Granjero|400g,205.00 USD (x1),205.00 USD (x1),https://www.elmachetazo.com/salchicha-de-cerdo-el-granjero400g-10869521/p
Supermercado,Canadian Bacon Deli Grecia|227g,435.00 USD (x1),435.00 USD (x1),https://www.elmachetazo.com/canadian-bacon-deli-grecia-10834747-machetazo/p
Supermercado,Tasajo de Cerdo Deli Grecia|340g,325.00 USD (x1),325.00 USD (x1),https://www.elmachetazo.com/tasajo-de-cerdo-deli-grecia-340g-10634398-machetazo/p
Supermercado,Crema Dental Colgate Total Whitening|75ml,295.00 USD (x1),379.00 USD (x1),https://www.elmachetazo.com/crema-dental-colgate-total-whitening75ml-11004193/p
Supermercado,Gel de Baño Palmolive Nutrimilk|650ml,640.00 USD (x1),640.00 USD (x1),https://www.elmachetazo.com/gel-de-bano-palmolive-nutrimilk650ml-11010277/p
Supermercado,Gel de Baño Protex Cream|650ml,615.00 USD (x1),695.00 USD (x1),https://www.elmachetazo.com/gel-de-bano-protex-cream650ml-11008443/p
Supermercado,Soda Pepsi Black|355ml,59.00 USD (x1),63.00 USD (x1),https://www.elmachetazo.com/soda-pepsi-black-355ml-10932336-machetazo/p
Supermercado,Papas Congeladas Ricardo Essential|2.5kg,444.00 USD (x1),444.00 USD (x1),https://www.elmachetazo.com/papas-congeladas-ricardo-essential25kg-10998884/p
Supermercado,Néctar de Uva Del Valle Kapo|200ml,35.00 USD (x1),35.00 USD (x1),https://www.elmachetazo.com/nectar-de-uva-del-valle-kapo200ml-11006199/p
Supermercado,Néctar de Naranja Del Valle Kapo|200ml,35.00 USD (x1),35.00 USD (x1),https://www.elmachetazo.com/nectar-de-naranja-del-valle-kapo200ml-11006200/p
Supermercado,Néctar de Manzana Del Valle Kapo|200ml,35.00 USD (x1),35.00 USD (x1),https://www.elmachetazo.com/nectar-de-manzana-del-valle-kapo200ml-11006201/p
Supermercado,Néctar Surtido Del Valle Kapo|200ml|6 Unidades,199.00 USD (x1),199.00 USD (x1),https://www.elmachetazo.com/nectar-surtido-del-valle-kapo200ml6-unidades-11006202/p
Supermercado,Chocolate en Polvo Mokate|Caramelo|10 Unidades,249.00 USD (x1),249.00 USD (x1),https://www.elmachetazo.com/chocolate-en-polvo-mokatecaramelo10-unidades-10923004/p
Supermercado,Chocolate en Polvo Mokate|Leche|10 Unidades,249.00 USD (x1),249.00 USD (x1),https://www.elmachetazo.com/chocolate-en-polvo-mokateleche10-unidades-10923005/p
Supermercado,Chocolate en Polvo Mokate|Ligero|10 Unidades,249.00 USD (x1),249.00 USD (x1),https://www.elmachetazo.com/chocolate-en-polvo-mokateligero10-unidades-10923007/p
Supermercado,Café Molido Golden Selection |425g,416.00 USD (x1),416.00 USD (x1),https://www.elmachetazo.com/cafe-duran-golden-selection-425g-10983360/p
Supermercado,Harina de Maíz Blanco Maissisimo|1 Kg,175.00 USD (x1),175.00 USD (x1),https://www.elmachetazo.com/harina-de-maiz-blanco-maissisimo1-kg-10906736/p
Supermercado,Enjuague Bucal Therabreath Mild Mint|16 oz,899.00 USD (x1),899.00 USD (x1),https://www.elmachetazo.com/enjuague-bucal-therabreath-mild-mint16-oz-10980990/p
Supermercado,Enguaje Bucal Therabreath Invigorating Icy Mint|16 oz,899.00 USD (x1),899.00 USD (x1),https://www.elmachetazo.com/enguaje-bucal-therabreath-invigorating-icy-mint16-oz-10980992/p
Supermercado,Rollitos Primavera de Vegetales|18 oz,350.00 USD (x1),350.00 USD (x1),https://www.elmachetazo.com/rollitos-primavera-de-vegetales18-oz-10586039/p
Supermercado,Salchicha Frank Esencial Rimith|454 g,195.00 USD (x1),195.00 USD (x1),https://www.elmachetazo.com/salchicha-frank-esencial-rimith454-g-10868152/p
Supermercado,Soda Coca Cola Botella 6 Pack |600ml,625.00 USD (x1),625.00 USD (x1),https://www.elmachetazo.com/soda-coca-cola-botella-6pack600ml-10930669/p
Supermercado,Papas Wedge Picantes Aviko|2.5kg,920.00 USD (x1),920.00 USD (x1),https://www.elmachetazo.com/papas-wedge-picantes-aviko25kg-10863467/p
Supermercado,Alimento para Perro Mandala Cachorro|10.1 kg,2099.00 USD (x1),2099.00 USD (x1),https://www.elmachetazo.com/alimento-para-perro-mandala-cachorro101-kg-10946493/p
Supermercado,Alimento para Perro Mandala Arroz y Carne|20g,3599.00 USD (x1),3599.00 USD (x1),https://www.elmachetazo.com/alimento-para-perro-mandala-arroz-y-carne20g-10946492/p
Supermercado,Cerveza Extra Fina Cristal|12 Unidades|310 ml,835.00 USD (x1),835.00 USD (x1),https://www.elmachetazo.com/cerveza-extra-fina-cristal12-unidades310-ml-10972283/p
Supermercado,Pasitas Ligo|250 g,229.00 USD (x1),229.00 USD (x1),https://www.elmachetazo.com/pasitas-ligo250-g-10025362/p
Supermercado,Azúcar Clara Domino|453g,225.00 USD (x1),225.00 USD (x1),https://www.elmachetazo.com/azucar-clara-domino453-gr-10018538/p
Supermercado,Premio Masticable para Perro|Mini|Pollo|8 Unidades,407.00 USD (x1),407.00 USD (x1),https://www.elmachetazo.com/premio-masticable-para-perrominipollo8-unidades-10852545/p
Supermercado,Premio Masticable para Perro|Pequeño|Pollo,163.00 USD (x1),163.00 USD (x1),https://www.elmachetazo.com/premio-masticable-para-perropequenopollo-10852679/p
Supermercado,Premio Masticable para Perro|Mediano|Pollo,233.00 USD (x1),233.00 USD (x1),https://www.elmachetazo.com/premio-masticable-para-perromedianopollo-10852547/p
Supermercado,Premio Masticable para Perro|Pollo|5 Unidades,399.00 USD (x1),399.00 USD (x1),https://www.elmachetazo.com/premio-masticable-para-perropollo5-unidades-10852546/p
Supermercado,Premio Masticable para Perro|Dental|2 Unidades,200.00 USD (x1),200.00 USD (x1),https://www.elmachetazo.com/premio-masticable-para-perrodental2-unidades-10852552/p
Supermercado,Premio Masticable para Perro|Dental|5 Unidades,412.00 USD (x1),412.00 USD (x1),https://www.elmachetazo.com/premio-masticable-para-perrodental5-unidades-10852551/p
Supermercado,Removedor de Manchas y Olores para Perro|24 oz,810.00 USD (x1),810.00 USD (x1),https://www.elmachetazo.com/removedor-de-manchas-y-olores-para-perro24-oz-10852554/p
Supermercado,BettaMin Hojuelas para peces Betta|23g,208.00 USD (x1),208.00 USD (x1),https://www.elmachetazo.com/bettamin-hojuelas-para-peces-betta23g-10852541/p
Supermercado,Hojuelas para Peces Goldfish|28g,311.00 USD (x1),311.00 USD (x1),https://www.elmachetazo.com/hojuelas-para-peces-goldfish28g-10852544/p
Supermercado,Cereal de Chocolate Sin Gluten Ceridés|500 g,369.00 USD (x1),369.00 USD (x1),https://www.elmachetazo.com/cereal-de-chocolate-sin-gluten-cerides500-g-10979098/p
Supermercado,Galletas Manzana y Canela Del Carmen|44 g,45.00 USD (x1),45.00 USD (x1),https://www.elmachetazo.com/galletas-manzana-y-canela-del-carmen44-g-10987362/p
Supermercado,Galletas Mantequilla De Mani|44 g,45.00 USD (x1),45.00 USD (x1),https://www.elmachetazo.com/galletas-mantequilla-de-mani44-g-10987360/p
Supermercado,Galletas Chocolate Del Carmen|44 g,45.00 USD (x1),45.00 USD (x1),https://www.elmachetazo.com/galletas-chocolate-del-carmen44-g-10987363/p
Supermercado,Galletas de Piña Colada Del Carmen|44 g,45.00 USD (x1),45.00 USD (x1),https://www.elmachetazo.com/galletas-de-pina-colada-del-carmen44-g-10987366/p
Supermercado,Galletas Rellenas Choco Wow|32g,285.00 USD (x1),285.00 USD (x1),https://www.elmachetazo.com/galletas-rellenas-choco-wow32g-10867787/p
